CODE_BAR,PRIX,TYPE_PROMO,NUM_PRODUIT,REDUCTION
3700009277362,3.99,catalogue,1,0.0
3560071448196,3.99,reduction,2,30.0
3560071215347,5.75,reduction,2,20.0
3245390132918,5.79,reduction,2,20.0
3245390232885,3.29,reduction,2,20.0
3024720022439,2.89,combinaison,3,100.0
3024720020121,1.79,combinaison,3,100.0
3024720026543,4.45,combinaison,3,100.0
3024720020329,3.85,combinaison,3,100.0
3024720027748,2.79,combinaison,3,100.0
3024720020176,2.13,combinaison,3,100.0
3024720022422,2.42,combinaison,3,100.0
3245390031341,2.65,reduction,2,20.0
3560070875436,2.85,reduction,2,20.0
3023260020349,3.75,reduction,2,60.0
3245390135803,6.69,reduction,2,20.0
3700009275047,5.9,catalogue,1,0.0
3700009275009,5.9,catalogue,1,0.0
3700009275030,5.9,catalogue,1,0.0
3700009275016,5.9,catalogue,1,0.0
3242274002053,2.44,reduction,1,34.0
3242274004651,2.8,reduction,1,34.0
3242274007058,2.8,reduction,1,34.0
3242274008550,2.44,reduction,1,34.0
3242274005658,2.8,reduction,1,34.0
3242274001759,2.44,reduction,1,34.0
3700009217511,7.2,catalogue,1,0.0
3367651004885,3.19,reduction,2,68.0
3700009255155,6.9,catalogue,1,0.0
3700009255094,6.9,catalogue,1,0.0
3700009255124,6.9,catalogue,1,0.0
3242274000554,2.8,reduction,1,34.0
3367651004878,3.19,reduction,2,68.0
3700009211472,7.2,catalogue,1,0.0
3367651004892,3.19,reduction,2,68.0
3700009240441,7.2,catalogue,1,0.0
3242272922056,2.14,combinaison,3,100.0
3242272920557,2.49,combinaison,3,100.0
3242272920359,2.49,combinaison,3,100.0
3242272921059,2.12,combinaison,3,100.0
3242272923251,2.14,combinaison,3,100.0
3242272923053,2.14,combinaison,3,100.0
3449865293832,3.95,reduction,2,68.0
3071507889006,3.95,reduction,2,68.0
3154230807780,5.49,catalogue,1,0.0
3449865241116,3.62,combinaison,3,100.0
3276559957950,2.18,catalogue,1,0.0
3276559957882,5.07,catalogue,1,0.0
3498301003375,7.49,reduction,2,50.0
3449865293757,3.95,reduction,2,68.0
3449851140553,4.3,combinaison,3,100.0
3449860415727,3.09,combinaison,3,100.0
3449865267901,3.11,combinaison,3,100.0
3449865344251,4.84,combinaison,3,100.0
3449865328688,2.99,combinaison,3,100.0
3449858794001,5.33,combinaison,3,100.0
3449865293139,3.82,combinaison,3,100.0
3449865360800,2.29,combinaison,3,100.0
3449860429342,2.72,combinaison,3,100.0
3449865360817,2.29,combinaison,3,100.0
3449860415703,2.65,combinaison,3,100.0
3449854093009,2.32,combinaison,3,100.0
8028257010438,4.65,combinaison,3,100.0
8028257013347,3.35,combinaison,3,100.0
3498301003474,4.39,combinaison,3,100.0
3498301003344,4.39,combinaison,3,100.0
3498301003504,4.39,combinaison,3,100.0
3498301003450,4.39,combinaison,3,100.0
3498301003313,4.39,combinaison,3,100.0
3498301003498,4.39,combinaison,3,100.0
3498301003368,7.49,reduction,2,50.0
3245390158550,3.4,reduction,2,20.0
3024720026895,2.56,combinaison,3,100.0
8028257013378,4.89,combinaison,3,100.0
3083681151046,2.97,reduction,1,34.0
3560071449476,3.67,reduction,2,30.0
3245390232915,3.85,reduction,2,20.0
3292070007905,1.99,combinaison,3,100.0
3033491325250,1.49,combinaison,3,100.0
3033491139444,3.35,combinaison,3,100.0
3033491325755,1.85,combinaison,3,100.0
3033491592867,1.85,combinaison,3,100.0
3033491325762,1.49,combinaison,3,100.0
3033490699833,2.29,combinaison,3,100.0
3033491328527,3.88,combinaison,3,100.0
3033491325366,1.49,combinaison,3,100.0
3033491402807,1.81,combinaison,3,100.0
3033491147067,1.29,combinaison,3,100.0
3033491325359,1.49,combinaison,3,100.0
3033491325397,1.53,combinaison,3,100.0
3033491325403,1.49,combinaison,3,100.0
3033490545185,2.38,combinaison,3,100.0
3033491235405,2.05,combinaison,3,100.0
3033490907730,4.03,combinaison,3,100.0
3033491325694,2.79,combinaison,3,100.0
3033491139819,4.19,combinaison,3,100.0
3033491350863,1.36,combinaison,3,100.0
3033491350795,1.33,combinaison,3,100.0
3033491325373,1.49,combinaison,3,100.0
3033491350962,2.71,combinaison,3,100.0
3033491350955,4.51,combinaison,3,100.0
3033491732546,2.39,combinaison,3,100.0
3033491350672,4.25,combinaison,3,100.0
3033491325236,5.05,combinaison,3,100.0
3033491325267,1.51,combinaison,3,100.0
3033491325519,1.49,combinaison,3,100.0
3033491732553,2.39,combinaison,3,100.0
3033491235382,2.0,combinaison,3,100.0
3033491325243,1.49,combinaison,3,100.0
3033491325724,1.69,combinaison,3,100.0
3033491325700,2.79,combinaison,3,100.0
3033491325229,3.83,combinaison,3,100.0
3033491759789,2.44,combinaison,3,100.0
3033491347818,3.45,combinaison,3,100.0
3033491402784,1.81,combinaison,3,100.0
3033491350689,3.45,combinaison,3,100.0
3033491235412,1.73,combinaison,3,100.0
3033491235375,1.74,combinaison,3,100.0
3033491139970,2.28,combinaison,3,100.0
3033491351082,1.45,combinaison,3,100.0
3033490907723,3.02,combinaison,3,100.0
3033491601736,2.55,combinaison,3,100.0
3033490006099,2.79,reduction,2,60.0
3033490006105,2.79,reduction,2,60.0
3184670004517,2.79,combinaison,3,100.0
3184670004500,2.46,combinaison,3,100.0
3033491580017,3.75,catalogue,1,0.0
3329770077003,2.99,reduction,2,60.0
3329770083233,1.99,reduction,2,60.0
3560071221522,2.09,reduction,2,30.0
3560071421656,2.09,reduction,2,30.0
3560071421694,2.09,reduction,2,30.0
3329770063150,1.85,combinaison,3,100.0
3033491601750,2.55,combinaison,3,100.0
3033491325731,2.79,combinaison,3,100.0
3329770073272,1.99,reduction,2,60.0
3329770073289,1.99,reduction,2,60.0
3329770073265,1.99,reduction,2,60.0
3329770073296,1.99,reduction,2,60.0
3560071421731,2.09,reduction,2,30.0
3175681257542,2.32,reduction,2,68.0
